BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-04-12,234.9,5550150,1307002134.0
TQBR,2024-04-15,234.2,797690,186717159.0
TQBR,2024-04-16,233.85,1066570,248353266.5
TQBR,2024-04-17,232.2,475700,110468327.5
TQBR,2024-04-18,235.05,631300,147754260.5
TQBR,2024-04-19,243.1,1710920,414456625.0
TQBR,2024-04-22,241.45,1602950,385697481.0
TQBR,2024-04-23,238.05,1184190,286931282.0
TQBR,2024-04-24,235.05,559310,130856629.5
TQBR,2024-04-25,235.45,487600,114029139.0
TQBR,2024-04-26,233.15,804570,187459625.0
TQBR,2024-04-27,234.5,225250,52547060.0
TQBR,2024-04-29,232.6,96460,22487444.5
TQBR,2024-04-30,232.0,77990,18119036.0
TQBR,2024-05-02,232.0,145220,33692253.5
TQBR,2024-05-03,232.5,156230,36363218.0
TQBR,2024-05-06,232.15,139000,32416085.5
TQBR,2024-05-07,234.0,161240,37649568.5
TQBR,2024-05-08,231.75,205540,47739974.5
TQBR,2024-05-10,231.1,77100,17825998.5
TQBR,2024-05-13,231.15,168140,39046809.0
TQBR,2024-05-14,228.75,168060,38658644.5
TQBR,2024-05-15,225.4,348970,78889371.5
TQBR,2024-05-16,221.05,305230,67948687.5
TQBR,2024-05-17,221.7,459390,101057810.5
TQBR,2024-05-20,217.0,273750,59550008.0
TQBR,2024-05-21,215.65,198580,42863541.5
TQBR,2024-05-22,211.55,261020,55970508.0
TQBR,2024-05-23,208.95,300970,62573699.0
TQBR,2024-05-24,204.05,271470,56915439.5
TQBR,2024-05-27,199.95,279520,56057480.5
TQBR,2024-05-28,201.2,136660,27727567.0
TQBR,2024-05-29,198.95,118710,23832221.5
TQBR,2024-05-30,194.6,142900,28364432.0
TQBR,2024-05-31,190.1,98090,18891693.5
TQBR,2024-06-03,188.5,197150,36756816.0
TQBR,2024-06-04,193.7,160580,31234526.5
TQBR,2024-06-05,198.0,155380,31120360.5
TQBR,2024-06-06,189.5,187370,36130616.0
TQBR,2024-06-07,186.25,350140,65389847.0
TQBR,2024-06-10,182.9,171460,31860316.5
TQBR,2024-06-11,179.65,136950,24718982.5
TQBR,2024-06-13,181.15,111110,19906071.0
TQBR,2024-06-14,180.65,75710,13710979.5
TQBR,2024-06-17,177.4,57220,10261798.0
TQBR,2024-06-18,172.55,123910,21641016.0
TQBR,2024-06-19,163.7,193500,31951355.0
TQBR,2024-06-20,166.6,145840,24262069.5
TQBR,2024-06-21,167.0,106650,17929873.5
TQBR,2024-06-24,171.15,168400,28919482.0
TQBR,2024-06-25,182.6,536100,97536070.5
TQBR,2024-06-26,201.6,692390,133980528.5
TQBR,2024-06-27,196.95,422300,82932891.5
TQBR,2024-06-28,199.5,242220,48276703.5
TQBR,2024-07-01,198.1,58680,11612820.0
TQBR,2024-07-02,193.7,59670,11674760.5
TQBR,2024-07-03,190.95,46540,8933968.5
TQBR,2024-07-04,194.0,109760,21288783.0
TQBR,2024-07-05,191.2,67390,12890097.0
TQBR,2024-07-08,186.6,77390,14560221.0
TQBR,2024-07-09,180.0,88990,16118147.5
TQBR,2024-07-10,169.05,125340,21770854.5
TQBR,2024-07-11,174.95,193320,33897263.0
TQBR,2024-07-12,177.35,211370,37841626.5
TQBR,2024-07-15,176.8,55900,9866170.0
TQBR,2024-07-16,175.3,197800,34624607.5
TQBR,2024-07-17,172.0,66410,11508185.5
TQBR,2024-07-18,174.9,260850,46064451.0
TQBR,2024-07-19,172.0,248450,43110825.0
TQBR,2024-07-22,173.9,123990,21533756.5
TQBR,2024-07-23,172.6,71120,12267848.5
TQBR,2024-07-24,176.0,142580,24719903.0
TQBR,2024-07-25,177.2,435140,77906294.0
TQBR,2024-07-26,175.4,122530,21722316.5
TQBR,2024-07-29,168.95,107590,18350012.0
TQBR,2024-07-30,169.9,130180,22175649.0
TQBR,2024-07-31,169.9,58120,9878756.5
TQBR,2024-08-01,172.8,72100,12468186.5
TQBR,2024-08-02,170.7,46370,7951695.0
TQBR,2024-08-05,167.4,87740,14636399.0
TQBR,2024-08-06,169.3,37740,6380385.5
TQBR,2024-08-07,169.3,34780,5871250.0
TQBR,2024-08-08,171.2,61460,10546480.0
TQBR,2024-08-09,171.3,22940,3928030.5
TQBR,2024-08-12,172.85,115960,19990715.5
TQBR,2024-08-13,174.6,95650,16505753.5
TQBR,2024-08-14,172.75,46880,8115746.5
TQBR,2024-08-15,172.6,57240,9935761.5
TQBR,2024-08-16,174.3,87400,15263444.0
TQBR,2024-08-19,167.0,203830,34348075.5
TQBR,2024-08-20,167.8,137010,23096910.5
TQBR,2024-08-21,173.95,561170,98703785.0
TQBR,2024-08-22,169.8,203370,34732690.5
TQBR,2024-08-23,166.95,175220,29563928.0
TQBR,2024-08-26,169.8,136060,23064672.0
TQBR,2024-08-27,167.0,198820,33323878.5
TQBR,2024-08-28,166.6,131900,21826071.0
TQBR,2024-08-29,167.3,108410,18021904.5
TQBR,2024-08-30,163.0,255320,41991142.5
TQBR,2024-09-02,159.2,112000,17865638.5
TQBR,2024-09-03,153.85,376700,58867329.5
TQBR,2024-09-04,155.5,290180,44556792.0
TQBR,2024-09-05,155.9,238080,37097329.5
TQBR,2024-09-06,158.7,93510,14606038.5
TQBR,2024-09-09,161.55,89320,14249626.5
TQBR,2024-09-10,160.05,107490,17241606.0
TQBR,2024-09-11,158.1,102480,16365771.0
TQBR,2024-09-12,158.0,28630,4519049.5
TQBR,2024-09-13,160.2,70000,11086392.0
TQBR,2024-09-16,164.9,184860,30706216.5
TQBR,2024-09-17,171.95,221700,37715320.5
TQBR,2024-09-18,172.9,98770,17018121.5
TQBR,2024-09-19,171.5,61260,10486506.0
TQBR,2024-09-20,174.55,91650,15864393.0
TQBR,2024-09-23,179.0,122930,21851167.5
TQBR,2024-09-24,180.6,84790,15143170.0
TQBR,2024-09-25,176.2,119130,21458441.5
TQBR,2024-09-26,178.5,166280,29670284.5
TQBR,2024-09-27,179.3,72810,13018043.0
TQBR,2024-09-30,179.9,137250,24744180.0
TQBR,2024-10-01,177.8,209880,37319229.5
TQBR,2024-10-02,177.1,170640,30278189.5
TQBR,2024-10-03,174.5,375320,65960778.0
TQBR,2024-10-04,163.0,389810,64054733.5
TQBR,2024-10-07,161.25,285370,45805854.0
TQBR,2024-10-08,160.2,69030,11065699.5
TQBR,2024-10-09,160.2,37550,6012006.5
TQBR,2024-10-10,160.2,55960,8957336.0
TQBR,2024-10-11,160.6,37070,5931712.5
TQBR,2024-10-14,160.55,58130,9314031.0
TQBR,2024-10-15,162.2,109360,17670363.5
TQBR,2024-10-16,160.25,50600,8162865.0
TQBR,2024-10-17,161.5,86590,13985349.0
TQBR,2024-10-18,161.25,54240,8738269.0
TQBR,2024-10-21,157.95,111320,17719365.5
TQBR,2024-10-22,155.55,91640,14351145.5
TQBR,2024-10-23,154.3,99240,15321907.0
TQBR,2024-10-24,154.2,192790,29597026.0
TQBR,2024-10-25,150.9,104540,15908959.0
TQBR,2024-10-28,146.9,95400,14101734.0
TQBR,2024-10-29,148.1,76340,11173454.0
TQBR,2024-10-30,146.4,51180,7554725.0
TQBR,2024-10-31,143.8,65030,9333014.5
TQBR,2024-11-01,142.0,69040,9788066.5
TQBR,2024-11-02,141.6,25850,3662179.5
TQBR,2024-11-05,141.0,53760,7570713.0
TQBR,2024-11-06,140.0,132280,18687833.5
TQBR,2024-11-07,138.5,108410,14942490.5
TQBR,2024-11-08,140.3,86700,12091761.5
TQBR,2024-11-11,142.5,102740,14549908.5
TQBR,2024-11-12,141.95,37560,5340194.5
TQBR,2024-11-13,143.7,40820,5825148.0
TQBR,2024-11-14,142.4,76300,10959276.0
TQBR,2024-11-15,143.6,64760,9215755.0
TQBR,2024-11-18,140.7,171150,23950609.0
TQBR,2024-11-19,136.8,183900,25321492.5
TQBR,2024-11-20,135.9,134430,18384794.5
TQBR,2024-11-21,133.65,166580,22187507.0
TQBR,2024-11-22,132.25,169240,22644235.0
TQBR,2024-11-25,132.9,472530,63449912.5
TQBR,2024-11-26,130.35,145090,19137781.0
TQBR,2024-11-27,132.2,154970,19970869.5
TQBR,2024-11-28,131.8,102360,13412239.5
TQBR,2024-11-29,133.7,87990,11682188.5
TQBR,2024-12-02,133.2,57450,7692204.0
TQBR,2024-12-03,130.1,175140,22900706.5
TQBR,2024-12-04,129.45,77190,9996354.0
TQBR,2024-12-05,130.35,62210,8067302.0
TQBR,2024-12-06,130.8,39070,5100065.5
TQBR,2024-12-09,134.45,109920,14529537.5
TQBR,2024-12-10,132.7,49580,6599690.5
TQBR,2024-12-11,133.15,41850,5533011.0
TQBR,2024-12-12,132.15,48290,6377059.0
TQBR,2024-12-13,130.9,65490,8603595.0
TQBR,2024-12-16,129.15,82520,10751322.5
TQBR,2024-12-17,131.4,76560,9986702.0
TQBR,2024-12-18,132.0,58150,7665535.0
TQBR,2024-12-19,131.8,39540,5225464.0
TQBR,2024-12-20,138.6,147260,20137701.5
TQBR,2024-12-23,139.0,494130,68379922.5
TQBR,2024-12-24,134.4,537580,72376921.5
TQBR,2024-12-25,133.8,456850,60613142.5
TQBR,2024-12-26,132.9,590750,78306147.0
TQBR,2024-12-27,131.95,371260,48980213.5
TQBR,2024-12-28,132.3,567800,75315385.0
TQBR,2024-12-30,138.3,526400,71759804.0
TQBR,2025-01-03,138.4,305820,42236717.5
TQBR,2025-01-06,141.8,260440,36324954.5
TQBR,2025-01-08,142.15,281780,40182765.0
TQBR,2025-01-09,142.0,642850,91216416.0
TQBR,2025-01-10,144.6,751280,107150098.5
TQBR,2025-01-13,149.0,1216280,177597670.5
TQBR,2025-01-14,136.5,1039790,142143476.5
TQBR,2025-01-15,136.95,348160,47290190.5
TQBR,2025-01-16,138.5,415300,57429560.0
TQBR,2025-01-17,140.1,426410,59854965.5
TQBR,2025-01-20,139.7,231770,32559199.5
TQBR,2025-01-21,141.6,311660,43969189.5
TQBR,2025-01-22,140.65,381070,54175245.0
TQBR,2025-01-23,138.0,421240,58318128.5
TQBR,2025-01-24,138.0,233210,32163671.5
TQBR,2025-01-27,136.6,215720,29615146.5
TQBR,2025-01-28,137.45,381660,51946372.5
TQBR,2025-01-29,138.75,197890,27445960.5
TQBR,2025-01-30,140.8,256210,35942376.0
TQBR,2025-01-31,140.0,271110,37960276.5
TQBR,2025-02-03,138.3,228920,31708698.0
TQBR,2025-02-04,138.9,234320,32629914.0
TQBR,2025-02-05,141.5,162050,22674462.0
TQBR,2025-02-06,141.55,189040,26851939.5
TQBR,2025-02-07,141.8,156160,22149955.5
TQBR,2025-02-10,143.5,291210,41695418.5
TQBR,2025-02-11,146.65,253280,36805500.5
TQBR,2025-02-12,148.4,417400,61126671.5
TQBR,2025-02-13,147.9,287720,42289721.5
TQBR,2025-02-14,149.15,424040,63042995.0
TQBR,2025-02-17,153.55,362450,55116538.5
TQBR,2025-02-18,149.8,229600,34549452.0
TQBR,2025-02-19,151.6,145420,21970079.0
TQBR,2025-02-20,152.9,179180,27491591.0
TQBR,2025-02-21,153.9,175720,26995327.0
TQBR,2025-02-24,152.75,208910,31808096.0
TQBR,2025-02-25,152.05,195970,30070013.5
TQBR,2025-02-26,150.7,209530,31670785.5
TQBR,2025-02-27,146.35,197510,29258768.5
TQBR,2025-02-28,154.3,922360,141795466.0
TQBR,2025-03-03,151.3,337540,51043393.0
TQBR,2025-03-04,155.0,268350,41260765.5
TQBR,2025-03-05,154.05,201830,30976759.0
TQBR,2025-03-06,151.55,123540,18797038.0
TQBR,2025-03-07,151.2,183010,27785090.0
